date_kst,post_type,topic,keyword,cta_id,queue_left,thread_id,is_draft
2026-08-13T07:00:35.848753+09:00,howto,,,,,18098693087622661,False
2026-08-14T07:00:36.453802+09:00,open,상품 소개글 쓰기,소개,3,53,17905629711468987,False
2026-08-15T07:00:44.753371+09:00,lead,장보기 목록 만들기,장보기,2,1,18066251123574136,False
2026-08-16T07:00:39.840778+09:00,lead,지원사업 신청서 초안 쓰기,신청,0,0,18093700223368300,False
2026-08-17T07:00:38.278983+09:00,howto,,,,,18100355612202779,False
2026-08-18T07:00:40.578427+09:00,open,중고거래 판매글 쓰기,중고,4,19,17963544824965449,False
2026-08-19T07:00:40.377735+09:00,lead,고객 리뷰에 답글 달기,리뷰,1,16,18069803891481447,False
2026-08-20T07:00:37.195296+09:00,howto,,,,,18105550790268671,False
2026-08-21T07:00:39.560933+09:00,open,하루 할 일 우선순위 정하기,할일,5,18,18138059512606345,False
2026-08-22T07:00:38.792979+09:00,lead,아이 숙제 봐주기,숙제,2,15,18349309921173898,False
2026-08-23T07:00:37.407841+09:00,lead,엑셀 수식 만들기,엑셀,0,14,18066458006775421,False
2026-08-24T07:00:35.957562+09:00,howto,,,,,18105845909135047,False
2026-08-25T07:14:14.254669+09:00,open,직원 공지문 쓰기,공지,4,17,18106706054132372,False
2026-08-26T07:00:40.084803+09:00,lead,클레임 응대 문구 만들기,클레임,2,13,18112505869800131,False
2026-08-27T07:00:41.384238+09:00,howto,,,,,18076319735430783,False
